T (C)	Young's modulus-TOTAL	Thermal conductivity-TOTAL	Poisson's ratio-TOTAL	Density-TOTAL	Specific heat (J/(g K))	Linear expansion-
 0.160000E+04	 0.000000E+00	 0.350501E+02	 0.499365E+00	 0.685765E+01	 0.830060E+00	 0.463160E+01
 0.159000E+04	 0.000000E+00	 0.348664E+02	 0.499365E+00	 0.686584E+01	 0.829970E+00	 0.458630E+01
 0.158000E+04	 0.000000E+00	 0.346826E+02	 0.499365E+00	 0.687401E+01	 0.829920E+00	 0.454124E+01
 0.157000E+04	 0.000000E+00	 0.344988E+02	 0.499365E+00	 0.688216E+01	 0.829870E+00	 0.449641E+01
 0.156000E+04	 0.000000E+00	 0.343150E+02	 0.499365E+00	 0.689028E+01	 0.829840E+00	 0.445183E+01
 0.155000E+04	 0.000000E+00	 0.341313E+02	 0.499365E+00	 0.689837E+01	 0.829800E+00	 0.440747E+01
 0.154000E+04	 0.000000E+00	 0.339475E+02	 0.499365E+00	 0.690645E+01	 0.829770E+00	 0.436336E+01
 0.153000E+04	 0.000000E+00	 0.337637E+02	 0.499365E+00	 0.691450E+01	 0.825900E+00	 0.431948E+01
 0.152000E+04	 0.000000E+00	 0.335800E+02	 0.499365E+00	 0.692252E+01	 0.821080E+00	 0.427584E+01
 0.151000E+04	 0.000000E+00	 0.333962E+02	 0.499365E+00	 0.693052E+01	 0.816340E+00	 0.423244E+01
 0.150000E+04	 0.000000E+00	 0.332124E+02	 0.499365E+00	 0.693849E+01	 0.811690E+00	 0.418927E+01
 0.149000E+04	 0.000000E+00	 0.330287E+02	 0.499365E+00	 0.694644E+01	 0.807120E+00	 0.414634E+01
 0.148000E+04	 0.144509E+00	 0.334121E+02	 0.472394E+00	 0.701608E+01	 0.827927E+01	 0.377430E+01
 0.147000E+04	 0.254211E+01	 0.338609E+02	 0.444007E+00	 0.708713E+01	 0.566517E+01	 0.340228E+01
 0.146000E+04	 0.873749E+01	 0.341533E+02	 0.423835E+00	 0.713797E+01	 0.414256E+01	 0.314064E+01
 0.145000E+04	 0.178823E+02	 0.343381E+02	 0.408851E+00	 0.717601E+01	 0.315455E+01	 0.294731E+01
 0.144000E+04	 0.284428E+02	 0.344420E+02	 0.397534E+00	 0.720506E+01	 0.244492E+01	 0.280104E+01
 0.143000E+04	 0.411779E+02	 0.345075E+02	 0.387544E+00	 0.723253E+01	 0.295386E+01	 0.266380E+01
 0.142000E+04	 0.595938E+02	 0.345724E+02	 0.376642E+00	 0.726395E+01	 0.234300E+01	 0.250810E+01
 0.141000E+04	 0.652119E+02	 0.344865E+02	 0.373754E+00	 0.727479E+01	 0.699440E+00	 0.245465E+01
 0.140000E+04	 0.662578E+02	 0.343589E+02	 0.373176E+00	 0.728014E+01	 0.696940E+00	 0.242835E+01
 0.139000E+04	 0.673025E+02	 0.342314E+02	 0.372598E+00	 0.728549E+01	 0.695060E+00	 0.240212E+01
 0.138000E+04	 0.683458E+02	 0.341039E+02	 0.372020E+00	 0.729083E+01	 0.693200E+00	 0.237594E+01
 0.137000E+04	 0.693878E+02	 0.339764E+02	 0.371441E+00	 0.729617E+01	 0.691370E+00	 0.234982E+01
 0.136000E+04	 0.704285E+02	 0.338490E+02	 0.370862E+00	 0.730150E+01	 0.689530E+00	 0.232376E+01
 0.135000E+04	 0.714680E+02	 0.337216E+02	 0.370283E+00	 0.730683E+01	 0.687720E+00	 0.229774E+01
 0.134000E+04	 0.725061E+02	 0.335942E+02	 0.369704E+00	 0.731216E+01	 0.685930E+00	 0.227177E+01
 0.133000E+04	 0.735429E+02	 0.334668E+02	 0.369124E+00	 0.731749E+01	 0.684150E+00	 0.224584E+01
 0.132000E+04	 0.745785E+02	 0.333395E+02	 0.368545E+00	 0.732282E+01	 0.682370E+00	 0.221996E+01
 0.131000E+04	 0.756127E+02	 0.332121E+02	 0.367965E+00	 0.732814E+01	 0.680610E+00	 0.219412E+01
 0.130000E+04	 0.766457E+02	 0.330848E+02	 0.367385E+00	 0.733347E+01	 0.678860E+00	 0.216831E+01
 0.129000E+04	 0.776773E+02	 0.329575E+02	 0.366804E+00	 0.733880E+01	 0.677110E+00	 0.214254E+01
 0.128000E+04	 0.787077E+02	 0.328302E+02	 0.366224E+00	 0.734412E+01	 0.675390E+00	 0.211681E+01
 0.127000E+04	 0.797368E+02	 0.327029E+02	 0.365644E+00	 0.734945E+01	 0.673640E+00	 0.209110E+01
 0.126000E+04	 0.807646E+02	 0.325757E+02	 0.365063E+00	 0.735478E+01	 0.671920E+00	 0.206543E+01
 0.125000E+04	 0.817910E+02	 0.324484E+02	 0.364483E+00	 0.736011E+01	 0.670200E+00	 0.203979E+01
 0.124000E+04	 0.828162E+02	 0.323211E+02	 0.363902E+00	 0.736545E+01	 0.668500E+00	 0.201417E+01
 0.123000E+04	 0.838402E+02	 0.321939E+02	 0.363321E+00	 0.737078E+01	 0.666860E+00	 0.198859E+01
 0.122000E+04	 0.848628E+02	 0.320667E+02	 0.362740E+00	 0.737612E+01	 0.665210E+00	 0.196303E+01
 0.121000E+04	 0.858841E+02	 0.319394E+02	 0.362160E+00	 0.738146E+01	 0.663570E+00	 0.193749E+01
 0.120000E+04	 0.869042E+02	 0.318122E+02	 0.361579E+00	 0.738680E+01	 0.661940E+00	 0.191198E+01
 0.119000E+04	 0.879229E+02	 0.316850E+02	 0.360998E+00	 0.739215E+01	 0.660310E+00	 0.188649E+01
 0.118000E+04	 0.889404E+02	 0.315578E+02	 0.360417E+00	 0.739750E+01	 0.658700E+00	 0.186102E+01
 0.117000E+04	 0.899566E+02	 0.314306E+02	 0.359836E+00	 0.740285E+01	 0.656780E+00	 0.183558E+01
 0.116000E+04	 0.909715E+02	 0.313034E+02	 0.359254E+00	 0.740821E+01	 0.655170E+00	 0.181015E+01
 0.115000E+04	 0.919851E+02	 0.311762E+02	 0.358673E+00	 0.741357E+01	 0.653570E+00	 0.178475E+01
 0.114000E+04	 0.929975E+02	 0.310490E+02	 0.358092E+00	 0.741893E+01	 0.651970E+00	 0.175936E+01
 0.113000E+04	 0.940152E+02	 0.309220E+02	 0.357509E+00	 0.742434E+01	 0.668100E+00	 0.173380E+01
 0.112000E+04	 0.950353E+02	 0.307952E+02	 0.356924E+00	 0.742977E+01	 0.665550E+00	 0.170817E+01
 0.111000E+04	 0.960539E+02	 0.306683E+02	 0.356340E+00	 0.743520E+01	 0.663090E+00	 0.168257E+01
 0.110000E+04	 0.970711E+02	 0.305414E+02	 0.355756E+00	 0.744063E+01	 0.660680E+00	 0.165701E+01
 0.109000E+04	 0.980867E+02	 0.304145E+02	 0.355172E+00	 0.744607E+01	 0.658310E+00	 0.163147E+01
 0.108000E+04	 0.991009E+02	 0.302876E+02	 0.354588E+00	 0.745150E+01	 0.655980E+00	 0.160596E+01
 0.107000E+04	 0.100114E+03	 0.301607E+02	 0.354004E+00	 0.745694E+01	 0.653670E+00	 0.158048E+01
 0.106000E+04	 0.101125E+03	 0.300338E+02	 0.353421E+00	 0.746238E+01	 0.651450E+00	 0.155502E+01
 0.105000E+04	 0.102135E+03	 0.299068E+02	 0.352837E+00	 0.746783E+01	 0.649280E+00	 0.152959E+01
 0.104000E+04	 0.103144E+03	 0.297799E+02	 0.352254E+00	 0.747327E+01	 0.647170E+00	 0.150419E+01
 0.103000E+04	 0.104151E+03	 0.296529E+02	 0.351670E+00	 0.747872E+01	 0.645090E+00	 0.147881E+01
 0.102000E+04	 0.105157E+03	 0.295260E+02	 0.351087E+00	 0.748417E+01	 0.643100E+00	 0.145345E+01
 0.101000E+04	 0.106162E+03	 0.293990E+02	 0.350503E+00	 0.748963E+01	 0.641170E+00	 0.142811E+01
 0.100000E+04	 0.107165E+03	 0.292721E+02	 0.349920E+00	 0.749508E+01	 0.639310E+00	 0.140280E+01
 0.990000E+03	 0.108168E+03	 0.291451E+02	 0.349337E+00	 0.750055E+01	 0.637500E+00	 0.137750E+01
 0.980000E+03	 0.109169E+03	 0.290181E+02	 0.348754E+00	 0.750601E+01	 0.635780E+00	 0.135222E+01
 0.970000E+03	 0.110169E+03	 0.288912E+02	 0.348170E+00	 0.751148E+01	 0.634140E+00	 0.132696E+01
 0.960000E+03	 0.111168E+03	 0.287642E+02	 0.347587E+00	 0.751696E+01	 0.632560E+00	 0.130172E+01
 0.950000E+03	 0.112167E+03	 0.286373E+02	 0.347004E+00	 0.752244E+01	 0.631040E+00	 0.127649E+01
 0.940000E+03	 0.113164E+03	 0.285103E+02	 0.346420E+00	 0.752792E+01	 0.629560E+00	 0.125127E+01
 0.930000E+03	 0.114161E+03	 0.283834E+02	 0.345837E+00	 0.753341E+01	 0.628120E+00	 0.122606E+01
 0.920000E+03	 0.115157E+03	 0.282564E+02	 0.345253E+00	 0.753891E+01	 0.626690E+00	 0.120087E+01
 0.910000E+03	 0.116152E+03	 0.281295E+02	 0.344670E+00	 0.754441E+01	 0.625240E+00	 0.117569E+01
 0.900000E+03	 0.117147E+03	 0.280025E+02	 0.344086E+00	 0.754992E+01	 0.623760E+00	 0.115052E+01
 0.890000E+03	 0.118140E+03	 0.278756E+02	 0.343502E+00	 0.755543E+01	 0.622220E+00	 0.112536E+01
 0.880000E+03	 0.119132E+03	 0.277487E+02	 0.342919E+00	 0.756095E+01	 0.620600E+00	 0.110021E+01
 0.870000E+03	 0.120124E+03	 0.276217E+02	 0.342335E+00	 0.756647E+01	 0.618900E+00	 0.107508E+01
 0.860000E+03	 0.121114E+03	 0.274948E+02	 0.341751E+00	 0.757200E+01	 0.617120E+00	 0.104997E+01
 0.850000E+03	 0.122102E+03	 0.273678E+02	 0.341168E+00	 0.757753E+01	 0.615240E+00	 0.102486E+01
 0.840000E+03	 0.123089E+03	 0.272408E+02	 0.340584E+00	 0.758307E+01	 0.613310E+00	 0.999779E+00
 0.830000E+03	 0.124075E+03	 0.271139E+02	 0.340001E+00	 0.758861E+01	 0.611310E+00	 0.974712E+00
 0.820000E+03	 0.125059E+03	 0.269869E+02	 0.339418E+00	 0.759415E+01	 0.609280E+00	 0.949663E+00
 0.810000E+03	 0.126041E+03	 0.268598E+02	 0.338834E+00	 0.759970E+01	 0.607180E+00	 0.924633E+00
 0.800000E+03	 0.127021E+03	 0.267328E+02	 0.338251E+00	 0.760525E+01	 0.605110E+00	 0.899621E+00
 0.790000E+03	 0.128000E+03	 0.266058E+02	 0.337668E+00	 0.761081E+01	 0.603040E+00	 0.874628E+00
 0.780000E+03	 0.129061E+03	 0.265678E+02	 0.336728E+00	 0.761436E+01	 0.999130E+00	 0.858659E+00
 0.770000E+03	 0.130469E+03	 0.269251E+02	 0.334350E+00	 0.760955E+01	 0.101725E+01	 0.880292E+00
 0.760000E+03	 0.131875E+03	 0.272743E+02	 0.332173E+00	 0.760538E+01	 0.103175E+01	 0.899040E+00
 0.750000E+03	 0.133300E+03	 0.276155E+02	 0.330191E+00	 0.760191E+01	 0.109064E+01	 0.914685E+00
 0.740000E+03	 0.134757E+03	 0.279553E+02	 0.328373E+00	 0.759899E+01	 0.111025E+01	 0.927811E+00
 0.730000E+03	 0.136244E+03	 0.282924E+02	 0.326708E+00	 0.759665E+01	 0.111492E+01	 0.938390E+00
 0.720000E+03	 0.137755E+03	 0.286234E+02	 0.325193E+00	 0.759490E+01	 0.110913E+01	 0.946291E+00
 0.710000E+03	 0.139283E+03	 0.289392E+02	 0.323815E+00	 0.759372E+01	 0.109641E+01	 0.951591E+00
 0.700000E+03	 0.140821E+03	 0.292534E+02	 0.322561E+00	 0.759308E+01	 0.107940E+01	 0.954477E+00
 0.690000E+03	 0.142535E+03	 0.296349E+02	 0.320941E+00	 0.759206E+01	 0.156610E+01	 0.959113E+00
 0.680000E+03	 0.145015E+03	 0.302961E+02	 0.317458E+00	 0.758837E+01	 0.215859E+01	 0.975794E+00
 0.670000E+03	 0.148677E+03	 0.313083E+02	 0.311527E+00	 0.758190E+01	 0.296093E+01	 0.100504E+01
 0.660000E+03	 0.150762E+03	 0.317458E+02	 0.309752E+00	 0.758360E+01	 0.894910E+00	 0.997336E+00
 0.650000E+03	 0.152196E+03	 0.318772E+02	 0.309378E+00	 0.758773E+01	 0.878240E+00	 0.978656E+00
 0.640000E+03	 0.153450E+03	 0.322846E+02	 0.309586E+00	 0.759389E+01	 0.114619E+01	 0.950842E+00
 0.630000E+03	 0.154552E+03	 0.328641E+02	 0.310103E+00	 0.760124E+01	 0.105908E+01	 0.917707E+00
 0.620000E+03	 0.155795E+03	 0.332350E+02	 0.310143E+00	 0.760685E+01	 0.839740E+00	 0.892439E+00
 0.610000E+03	 0.157207E+03	 0.334045E+02	 0.309763E+00	 0.761081E+01	 0.825560E+00	 0.874608E+00
 0.600000E+03	 0.158608E+03	 0.335788E+02	 0.309383E+00	 0.761475E+01	 0.812080E+00	 0.856903E+00
 0.590000E+03	 0.159977E+03	 0.337541E+02	 0.309007E+00	 0.761853E+01	 0.769280E+00	 0.839948E+00
 0.580000E+03	 0.161335E+03	 0.339337E+02	 0.308632E+00	 0.762230E+01	 0.758580E+00	 0.823065E+00
 0.570000E+03	 0.162680E+03	 0.341176E+02	 0.308256E+00	 0.762605E+01	 0.748310E+00	 0.806256E+00
 0.560000E+03	 0.164013E+03	 0.343058E+02	 0.307880E+00	 0.762979E+01	 0.738430E+00	 0.789520E+00
 0.550000E+03	 0.165332E+03	 0.344981E+02	 0.307504E+00	 0.763352E+01	 0.728920E+00	 0.772857E+00
 0.540000E+03	 0.166638E+03	 0.346944E+02	 0.307128E+00	 0.763723E+01	 0.719760E+00	 0.756267E+00
 0.530000E+03	 0.167930E+03	 0.348948E+02	 0.306752E+00	 0.764094E+01	 0.710910E+00	 0.739750E+00
 0.520000E+03	 0.169208E+03	 0.350992E+02	 0.306377E+00	 0.764462E+01	 0.702370E+00	 0.723306E+00
 0.510000E+03	 0.170472E+03	 0.353073E+02	 0.306001E+00	 0.764830E+01	 0.694100E+00	 0.706934E+00
 0.500000E+03	 0.171721E+03	 0.355193E+02	 0.305625E+00	 0.765197E+01	 0.686090E+00	 0.690636E+00
 0.490000E+03	 0.172954E+03	 0.357349E+02	 0.305249E+00	 0.765562E+01	 0.678330E+00	 0.674411E+00
 0.480000E+03	 0.174172E+03	 0.359542E+02	 0.304873E+00	 0.765925E+01	 0.670800E+00	 0.658258E+00
 0.470000E+03	 0.175375E+03	 0.361769E+02	 0.304497E+00	 0.766288E+01	 0.663490E+00	 0.642178E+00
 0.460000E+03	 0.176561E+03	 0.364030E+02	 0.304122E+00	 0.766649E+01	 0.656390E+00	 0.626171E+00
 0.450000E+03	 0.177731E+03	 0.366324E+02	 0.303746E+00	 0.767009E+01	 0.649480E+00	 0.610237E+00
 0.440000E+03	 0.178884E+03	 0.368649E+02	 0.303370E+00	 0.767368E+01	 0.642750E+00	 0.594376E+00
 0.430000E+03	 0.180020E+03	 0.371005E+02	 0.302994E+00	 0.767725E+01	 0.636200E+00	 0.578587E+00
 0.420000E+03	 0.181139E+03	 0.373391E+02	 0.302618E+00	 0.768081E+01	 0.629820E+00	 0.562871E+00
 0.410000E+03	 0.182240E+03	 0.375804E+02	 0.302243E+00	 0.768435E+01	 0.623600E+00	 0.547228E+00
 0.400000E+03	 0.183324E+03	 0.378245E+02	 0.301867E+00	 0.768789E+01	 0.617520E+00	 0.531658E+00
 0.390000E+03	 0.184389E+03	 0.380710E+02	 0.301491E+00	 0.769141E+01	 0.611590E+00	 0.516160E+00
 0.380000E+03	 0.185436E+03	 0.383199E+02	 0.301115E+00	 0.769491E+01	 0.605800E+00	 0.500735E+00
 0.370000E+03	 0.186464E+03	 0.385710E+02	 0.300739E+00	 0.769841E+01	 0.600140E+00	 0.485382E+00
 0.360000E+03	 0.187473E+03	 0.388241E+02	 0.300364E+00	 0.770189E+01	 0.594600E+00	 0.470102E+00
 0.350000E+03	 0.188464E+03	 0.390791E+02	 0.299988E+00	 0.770535E+01	 0.589190E+00	 0.454894E+00
 0.340000E+03	 0.189434E+03	 0.393358E+02	 0.299612E+00	 0.770881E+01	 0.583880E+00	 0.439759E+00
 0.330000E+03	 0.190385E+03	 0.395938E+02	 0.299236E+00	 0.771225E+01	 0.578690E+00	 0.424697E+00
 0.320000E+03	 0.191317E+03	 0.398532E+02	 0.298860E+00	 0.771567E+01	 0.573610E+00	 0.409707E+00
 0.310000E+03	 0.192228E+03	 0.401135E+02	 0.298485E+00	 0.771908E+01	 0.568620E+00	 0.394789E+00
 0.300000E+03	 0.193119E+03	 0.403746E+02	 0.298109E+00	 0.772248E+01	 0.563730E+00	 0.379944E+00
 0.290000E+03	 0.193990E+03	 0.406362E+02	 0.297733E+00	 0.772587E+01	 0.558930E+00	 0.365172E+00
 0.280000E+03	 0.194841E+03	 0.408980E+02	 0.297357E+00	 0.772924E+01	 0.554220E+00	 0.350471E+00
 0.270000E+03	 0.195671E+03	 0.411596E+02	 0.296981E+00	 0.773260E+01	 0.549590E+00	 0.335843E+00
 0.260000E+03	 0.196480E+03	 0.414209E+02	 0.296605E+00	 0.773594E+01	 0.545040E+00	 0.321288E+00
 0.250000E+03	 0.197268E+03	 0.416814E+02	 0.296230E+00	 0.773927E+01	 0.540570E+00	 0.306805E+00
 0.240000E+03	 0.198036E+03	 0.419407E+02	 0.295854E+00	 0.774259E+01	 0.536160E+00	 0.292394E+00
 0.230000E+03	 0.198783E+03	 0.421985E+02	 0.295478E+00	 0.774589E+01	 0.531820E+00	 0.278055E+00
 0.220000E+03	 0.199509E+03	 0.424542E+02	 0.295102E+00	 0.774918E+01	 0.527540E+00	 0.263789E+00
 0.210000E+03	 0.200214E+03	 0.427075E+02	 0.294726E+00	 0.775246E+01	 0.523320E+00	 0.249594E+00
 0.200000E+03	 0.200899E+03	 0.429578E+02	 0.294351E+00	 0.775572E+01	 0.519150E+00	 0.235472E+00
 0.190000E+03	 0.201563E+03	 0.432045E+02	 0.293975E+00	 0.775897E+01	 0.515030E+00	 0.221423E+00
